,Date,Action,No. Of Stocks,Returns,Portfolio Value
0,2018-11-12,Buy,537.0,0.0,91.14836120605469
1,2019-01-24,Sell,-538.0,-2.2841259629613475,-84.25163269042969
2,2019-03-08,Buy,537.0,-4.38741560824254,96.9483642578125
3,2019-04-01,Sell,-538.0,3.0244706161127066,-90.40164184570312
4,2019-04-24,Buy,537.0,-9.235245345079957,133.1983642578125
5,2019-05-20,Sell,-538.0,-14.288939073655005,-56.951629638671875
6,2019-06-26,Buy,537.0,9.745497426085814,104.14837646484375
7,2019-10-03,Sell,-538.0,-26.19837381888145,-18.251625061035156
8,2019-10-17,Buy,537.0,-14.229389587183583,121.24837493896484
9,2019-12-04,Sell,-538.0,23.785156259582042,-48.15161895751953
10,2020-04-08,Buy,537.0,145.7100737466772,19.448379516601562
11,2020-06-16,Sell,-538.0,27.010726458485102,-75.30162048339844
12,2020-08-03,Buy,537.0,-15.612561742079912,37.748382568359375
13,2020-08-25,Sell,-538.0,14.042173130921508,-89.35161590576172
14,2020-10-26,Buy,537.0,3.1413590457059604,44.34838104248047
15,2020-12-21,Sell,-538.0,21.304836310812725,-120.20162200927734
16,2021-02-01,Buy,537.0,-41.005009532377066,159.39838409423828
17,2021-02-23,Sell,-538.0,0.6211180124223503,-164.60161590576172
18,2021-04-16,Buy,537.0,3.758062547253016,145.39838409423828
19,2021-06-18,Sell,-538.0,11.944260361320435,-192.0016098022461
20,2021-08-12,Buy,537.0,9.248362023846003,113.9983901977539
21,2021-11-16,Sell,-538.0,68.93408878534377,-405.05159759521484
22,2022-01-13,Buy,537.0,3.555036971006298,106.8984146118164
23,2022-01-24,Sell,-538.0,-6.167872536950425,-371.55159759521484
24,2022-04-12,Buy,537.0,11.921058967649412,66.7483901977539
25,2022-04-20,Sell,-538.0,2.2039207212697587,-373.80159759521484
26,2022-05-20,Buy,537.0,7.18899229496861,44.198402404785156
27,2022-06-16,Sell,-538.0,-6.762367819317983,-348.7516098022461
28,2022-06-30,Buy,537.0,-5.548804337853763,63.048377990722656
29,2022-07-28,Sell,-538.0,7.1601615989642875,-379.20162200927734
30,2022-08-04,Buy,537.0,-4.116013658389905,89.69837188720703
31,2022-08-19,Sell,-538.0,1.2358946802794257,-381.30162811279297
32,2022-11-10,Buy,537.0,10.286267016214602,30.89838409423828
33,2022-12-16,Sell,-538.0,-0.44864082561614227,-390.70162200927734
34,2023-01-20,Buy,537.0,3.683494066312365,12.448371887207031
35,2023-03-06,Sell,-538.0,7.7620011461278615,-427.6516342163086
36,2023-05-08,Buy,537.0,-12.22777466673951,72.8483657836914
37,2023-06-30,Sell,-538.0,18.24679738115369,-522.7016220092773
38,2023-09-12,Buy,537.0,-4.832474321826941,98.0983657836914
